    x         Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s   c/s       porosity    pH          vx        heads   
  0.420E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.650E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.430E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.872E-04  0.553E+02  0.100E-14  0.120E-09  0.648E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.440E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.450E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.872E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.460E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.470E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.872E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.480E+00  0.125E-03  0.374E-04  0.972E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.650E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.490E+00  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.500E+00  0.118E-03  0.347E-04  0.100E-29  0.100E-29  0.794E-04  0.550E+02  0.100E-14  0.132E-09  0.576E-05  0.278E-31  0.834E-04  0.258E-07  0.258E-07  0.258E-07  0.258E-07  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.759E+01  0.937E-05  0.100E-09
 time =    1000.00000000000     (s)  3.168808781402895E-005(J)
